firsrt_name,last_name,DOB,height,weight
William,YOUNG,01161940,78,186
Caleb,SHERWOOD,05141944,65,142
Malia,SCALES,02121963,60,119
Aden,CISNEROS,06031947,60,122
Lyla,BENAVIDES,05231958,64,145
Rachael,VILLEGAS,01151980,66,132
William,YOUNG,01161940,78,184
Caleb,SHERWOOD,05141944,63,142
Malia,SCALES,02121963,60,114
Aden,CISNEROS,06031947,60,122
Lyla,BENAVIDES,05231958,64,145
Rachael,VILLEGAS,01151980,66,132
Martin,FAY,09301971,59,107
Sophie,MORTON,08121940,79,189
Ellie,MILNER,11191982,62,123
Melody,MACKENZIE,03151969,66,138
Phillip,DOHERTY,11301947,55,99
Jack,SORENSEN,01221968,79,177
Clara,MERRILL,09211955,68,148
Jasper,CISNEROS,09251965,60,124
Allyson,DOUGHTY,03261979,59,129
Jacob,DOBBS,03101961,58,118
Jackson,MONK,05271981,73,163
Valerie,DELATORRE,11121941,59,114
Jazmine,BROWER,01231942,61,127
Jennifer,WHITAKER,04251963,68,138
Carly,FULLER,07091979,75,116
Jordan,BRENNAN,08051976,75,160
Yasmin,COLES,03151954,63,127
Jack,YOUNGER,10051967,69,156
Moises,GUNTER,10291954,76,166
Linda,NIELSEN,12291953,66,144
Priscilla,CONNER,09221953,70,137
Damien,JOHNSON,01161945,77,174
Melissa,MOONEY,05271979,75,139
Fernanda,FELTON,02261951,64,126
Holly,HOLM,11041950,56,107
Dillon,MIDDLETON,07301958,59,115
Davis,DUPREE,02281978,73,154
Genevieve,WATTS,04131965,75,154
Madelynn,CANNON,06061950,68,123
icole,AGUIRRE,10031975,62,112
Maya,MCGOWAN,05171974,72,138
Keegan,HUBER,04301973,70,148
Kaydence,STRATTON,07271953,64,117
Griffin,MORAN,09241946,76,158
Adrian,EMMONS,09031964,76,158
Solomon,DOUGHERTY,11251948,73,159
Curtis,LYNCH,11101943,79,163
Aubree,CANO,09071940,71,146
Lydia,HARDING,09121958,66,117
Hadley,BOWLES,02021955,59,120
Ana,CABRERA,12011963,55,101
Lucas,SATTERFIELD,02021959,72,163
Corbin,KEMP,04021956,75,141
Trinity,SIERRA,01211973,63,123
Braydon,GARDNER,03221956,79,180
Angelica,CLARY,05241961,55,97
Eli,BILLINGSLEY,12281946,72,154
Kobe,MCMILLIAN,07191963,73,173
Emiliano,DONAHUE,06131954,79,172
Liliana,SOUTH,08131945,59,113
Johanna,BRINKLEY,04191941,63,130
Dominick,REA,02261972,70,139
Sage,STONE,11011977,69,148
Bridget,VALENZUELA,08051949,79,167
Elise,CLEVELAND,03021941,59,120
Nathan,METZ,09271960,69,136
Christina,AVERY,06091964,61,129
Izabella,KANG,10081954,65,122
Noe,MIRANDA,10221964,68,131
Travis,SULLIVAN,09211967,60,113
Mauricio,WHALEY,09221980,61,116
Skylar,STARKEY,09291942,66,138
Cole,MENDEZ,08081944,60,128
Taryn,PHAM,11051956,61,115
Maximilian,PURVIS,12051944,76,150
Nathanael,PRESCOTT,10181977,56,117
Amya,ALLARD,03261944,77,161
Alejandra,GALLNAT,03121969,63,122
Jazlyn,PERRY,07211985,77,159
Victor,MOULTON,07201947,55,117
Logan,MCCLAIN,11111983,78,170
Dallas,KRAUSE,06171942,55,103
Emily,MONK,12291957,58,120
Cheyanne,SHAW,03241958,69,137
Michaela,COON,02161970,56,99
Collin,STREET,07081983,70,138
Marcus,ARCHER,05291966,77,166
Esther,SIMS,01231948,68,143
Leila,BECERRA,05101950,69,104
Mercedes,BAILEY,09041952,65,127
Madisyn,MATTHEWS,07251967,78,159
Kaitlin,GIL,09051958,66,134
Arthur,CAMERON,02101946,63,119
Sadie,FLOOD,02241947,59,124
Kara,HERRERA,09091981,59,108
Iris,HAYS,06171982,69,131
Keaton,CHAPMAN,02051944,64,133
Ruth,RAGLAND,12061940,59,134
Micheal,FREY,12181942,62,143
Maddison,STREET,06221977,60,117
Johan,BOSWELL,08231962,56,111
Peter,CRUM,10141945,64,133
Jonathon,HOOKER,08191976,60,110
Mathew,SORENSON,10141966,78,157
Jameson,PEOPLES,04231984,79,181
Jaxson,BUSBY,04091950,70,162
Kobe,GUERRERO,11131968,72,164
Logan,LUND,05161971,74,155
Juan,HOUSER,08021965,56,132
Madalyn,COULTER,06191978,79,179
Jonathan,GRESHAM,01101955,73,158
Serena,TRACY,06011977,56,112
Micah,DAVIDSON,01101948,77,155
Taylro,SCHWAB,07131940,70,131
Francisco,MEDEIROS,01161984,89,159
Kevin,PEREIRA,04091973,67,139
Estrella,GEARY,02121963,67,154
Ruby,LYONS,11151985,76,175
Porter,HAMBY,10171955,61,130
Jillian,CLARY,06261953,66,117
Tyler,ANSH,02221951,78,178
Caroline,BURCH,03131957,78,168
Jadon,PENDLETON,04261952,76,165
Nia,POLK,04191958,79,167
Stella,CRAFT,08071983,79,179
Taylor,CARLISLE,09291950,61,113
Johanna,CLAYTON,10141958,74,161
Macie,SHIPLEY,11211978,75,157
Emanuel,BRITT,09261975,64,114
Tessa,MONTES,12241953,60,116
Jadyn,HAYDEN,05041980,78,171
Dulce,MCGOWAN,10301966,55,108
Lucia,EDOMNDS,04181952,74,151
Teagan,CATES,09901952,69,148
Mckenzie,BUENO,07251942,78,173
Victor,GUZMAN,02081973,57,110
Alice,PICKENS,03301977,66,119
Kristina,CRAMER,12031947,56,103
Melvin,KIMBROUGH,06051971,62,145
Alissa,CAMERON,10071974,57,124
Giselle,DOWELL,01031967,75,156
Eliza,LASSITER,10271985,66,128
Delaney,MCADAMS,01261944,78,184
Kendall,SMALLS,06271941,73,154
Fernando,HESTER,08221976,79,172
Payton,SHAW,05311944,63,139
Walter,STREETER,10031942,79,154
Jesus,GIVENS,07111969,66,149
Ryder,JUSTICE,01301948,82,150
Allie,IBARRA,04181958,68,144
Esmeralda,BEGLEY,05131957,63,122
Iris,NORMAN,08171948,66,123
Kimora,MCHUGH,12171948,55,118
Marissa,ROUSE,04261966,56,124
Donovan,BLACK,04011978,57,105
Raegan,PUGH,12071966,71,156
Derrick,HUTSON,12241973,68,146
Nyla,HELTON,07171940,63,133
Alejandra,ROUSE,10021982,61,136
Madalyn,HUFF,12291947,75,168
Leilani,TROUTMAN,05171972,79,184
Chloe,POWELL,08021954,71,145
James,BENTLEY,04211985,61,124
Jane,ESCAMILLA,10261974,61,126
Breanna,ROBISON,05151948,57,109
Sawyer,CORNWELL,08231944,72,156
Guillermo,RICKETTS,04131958,60,126
Damon,BAEZ,05021970,55,102
Tristen,STEPHENS,02251969,70,155
Kirsten,MCDONOUGH,09301946,65,115
Asher,ROYAL,06211973,75,150
Ruth,GROGAN,06101976,72,156
Brennan,DUNHAM,11161950,74,161
aJy,HUDDLESTON,11251972,65,128
Naomi,ABNEY,02081961,67,133
Cameron,GOODSON,04141946,79,161
Phoenix,KRAUSE,12211973,55,129
Leonel,ROBISON,06061974,55,100
Kevin,HAGER,02131954,73,151
Ashlee,DIETZ,10281957,72,136
Kira,WILKINS,12141953,74,170
Jaylen,SCHOFIELD,11101969,79,172
Tessa,BURRELL,10221943,58,117
Brielle,WELSH,01091943,65,118
Branden,ADAMS,03011947,62,131
Kira,IRBY,07101957,71,205
Oliver,MUNSON,09301959,69,142
Genesis,BULLOCK,02141981,56,111
Shane,NIXON,09051962,67,149
Angel,CHATMAN,06071941,59,116
Jonathan,LOZANO,03141958,58,99
Ashlee,RIZZO,04211942,74,153
Nia,GROEVR,01111953,66,122
Wyatt,LINN,09201981,71,157
Lukas,BOGGS,08121955,57,114
Aminda,OVERTON,08031956,71,146
Damian,SHIRLEY,02241970,73,162
Donovan,PACK,04271974,65,122
Avery,CONNELLY,04261972,76,143
Lacey,HAMMOND,10061969,59,99
Lilian,MCNEIL,07291981,62,113
Nora,MORRISSEY,09261955,57,112
Alexander,PEDERSEN,01211948,63,111
Aaron,TATUM,07061980,65,117
Kylee,SOLIS,06041952,67,140
Cody,SHAFER,02061947,57,102
Hugo,WEINSTEIN,06021940,65,133
Leah,MURRAY,12281968,74,144
Tommy,ALBRIGHT,11171963,71,161
Steven,CRUZ,12161947,72,168
Arianna,LEMIEUX,04031978,78,179
Jackson,LOMBARDO,11211953,57,108
Jaylen,MORAN,06081975,61,123
Erick,ALEXANDER,10301957,69,134
