name,DOB,sex,race,height,weight,zip,street,brth_cert_number
Sierra ROMANO,092359,0,3,60,112,27774,1388 4TH  ST,314950
Deandre HOLLIS,072441,0,1,54,160,29051,8345 CLAIREMONT  STREET,479931
Vivian CHRISTENSON,032053,0,2,,,21449,7063 KIRK  ST,866628
Avery SOUZA,123178,0,,57,115,27080,8240 JACKSON  STREET,309065
Dean PADILLA,070940,0,3,65,124,32332,7760 HILLDALE  STREET,496954
Johnathan BLANCO,081654,0,3,,141,20576,5228 OLDFIELD  ST,114510
Sierra ROMANO,092359,0,3,60,112,27774,1388 4TH  ST,314950
Deandre HOLLIS,072441,0,1,54,160,29051,8345 CLAIREMONT  STREET,479931
Vivian CHRISTENSON,032053,0,2,75,160,21449,7063 KIRK  ST,866628
Vivian CHRISTENSEN,032053,0,2,75,160,21449,1222 MAPLE ST,866628
Avery SOUZA,123178,0,,58,117,27080,8240 JACKSON  STREET,309065
Dean PADILLA,070940,0,2,65,124,32332,7760 HILLDALE  STREET,496954
Johnathan BLANCO,081654,0,3,57,142,20576,,114510
Kyla CALDERON,052478,0,2,,115,20389,4106 PINEHURST  ST,200939
Jaiden FORTUNE,042555,0,3,,,30580,5337 PATE  STREET,669697
Cesar RODRIGUEZ,100848,0,1,75,172,24368,8330 FAIRPARK  ST,512476
Eden TOTH,052666,0,2,66,,36981,9961 NORTHERN  STREET,181839
Mohamed KRUSE,101852,0,2,69,140,26922,9311 WEEKS  STREET,187547
Alexis LOCKETT,011482,0,3,75,200,38137,3804 ANSLEY  STREET,774788
Madelyn STERLING,111542,0,1,61,122,28730,633 NELSON FERRY  ST,214225
Johanna TROTTER,082942,0,2,64,125,24349,5020 JEFFERSON SQUARE  STREET,841765
Keith WARD,012082,0,2,78,142,23492,3531 KIRK  ST,437308
Judah JETT,020165,0,1,61,135,25174,9827 MAPLE  STREET,623397
Dallas LANG,050664,0,3,60,155,30208,9662 CHEWNING  STREET,642312
Julian BLOCK,051048,0,3,63,97,29830,5867 PLAINVIEW  ST,353032
Dorian WILLARD,012873,0,4,51,,37389,2197 MAEDIRIS  ST,726306
April BRADLEY,072381,0,4,,180,20467,5208 PATTILLO  STREET,296712
Talon CHANDLER,110280,0,1,70,165,35620,4310 CHIEF MATTHEWS  ST,729772
Christian FULLER,052555,0,4,85,150,25448,5022 HUNTER  ST,779618
Abby STUBBS,050280,0,3,73,139,25598,9648 DYSON  STREET,643875
Anastasia SLAUGHTER,100543,0,3,74,161,21303,6539 KIRK  ST,459212
Derrick GRIER,062177,0,3,68,134,38470,6347 CANDLER POINTE  STREET,464135
Laura ATWOOD,081944,0,2,54,148,30997,2256 GREENWOOD  STREET,803343
Tucker VEGA,010372,0,3,77,151,26626,3666 COMMERCE  ST,882369
Malia CRAIN,011257,0,2,86,165,26758,4949 HOWARD  STREET,812137
Issac SIMMS,072465,0,2,,131,26335,3323 SHADOWMOOR  STREET,127906
Rachel CASTLE,122177,0,3,58,,27599,590 RUPERT  STREET,645257
Leah CORDOVA,061757,0,1,,144,30992,4008 EVANS  STREET,498394
Lance BRANNON,011579,0,1,53,134,27030,1406 VILLAGE  STREET,466546
Donovan RICKER,100959,0,2,56,120,21479,4926 COMMERCE  ST,272660
Andy STEVENSON,062851,0,4,56,156,22411,1061 HANCOCK  STREET,413744
Sierra CLARK,112051,0,4,57,107,25416,258 ANSLEY  STREET,264412
