firsrt_name,last_name,DOB,sex,race,height,weight,ZIP,street,defect_code
Sierra,ROMANO,09231959,0,3,60,97,27774,1388 4TH  ST,223,
Deandre,HOLLIS,07241941,0,1,68,160,29051,8345 CLAIREMONT  STREET,270,
Vivian,CHRISTENSON,,0,2,57,,21449,7063 KIRK  ST,193,
Avery,SOUZA,12311978,0,4,63,138,27080,8240 JACKSON  STREET,333,
Dean,PADILLA,07091940,0,3,65,146,32332,7760 HILLDALE  STREET,323,
Johnathan,BLANCO,08161954,0,3,63,118,27018,9765 WILLOW  ST,484,
Kyla,CALDERON,05241978,0,2,58,115,20389,4106 PINEHURST  ST,303,
Jaiden,FORTUNE,04251955,0,3,62,151,30580,5337 PATE  STREET,407,
Cesar,RODRIGUEZ,10081948,0,1,75,172,22810,4084 DOROTHY  ST,452,
Eden,TOTH,05261966,0,2,66,130,28272,9284 VIDAL  ST,266,
Mohamed,KRUSE,10181952,0,2,69,140,21138,6431 ANSLEY  ST,188,
Alexis,LOCKETT,01141982,0,3,,209,37889,3971 GENERAL DELIVERY  STREET,151,
Madelyn,STERLING,11151942,0,1,61,122,28730,633 NELSON FERRY  ST,486,
Johanna,TROTTER,08291942,0,2,,125,24349,5020 JEFFERSON SQUARE  STREET,186,
Keith,WARD,01201982,0,2,74,160,28781,8751 KIRK CROSSING  ST,153,
Judah,JETT,02011965,0,1,63,,25174,9827 MAPLE  STREET,485,
Dallas,LANG,05061964,0,3,73,155,30208,9662 CHEWNING  STREET,442,
Julian,BLOCK,05101948,0,3,59,122,29830,5867 PLAINVIEW  ST,232,
Dorian,WILLARD,01281973,0,4,64,104,37389,2197 MAEDIRIS  ST,124,
April,BRADLEY,07231981,0,4,,156,20467,5208 PATTILLO  STREET,301,
Talon,CHANDLER,11021980,0,1,70,110,35620,4310 CHIEF MATTHEWS  ST,100,
Christian,FULLER,05251955,0,4,76,,25448,5022 HUNTER  ST,338,
Abby,STUBBS,05021980,0,3,73,139,25598,9648 DYSON  STREET,446,
Anastasia,SLAUGHTER,10051943,0,3,,161,21303,6539 KIRK  ST,265,
Derrick,GRIER,06211977,0,3,68,,38470,6347 CANDLER POINTE  STREET,382,
Laura,ATWOOD,08131944,0,2,68,,30997,2256 GREENWOOD  STREET,472,
Tucker,VEGA,01031972,0,3,72,168,28869,9016 DAVIS  STREET,430,
Malia,CRAIN,01121957,0,2,77,156,39378,362 CLAIRMONT  ST,200,
Issac,SIMMS,07241965,0,2,59,140,30489,3343 WOODLAND  STREET,492,
Rachel,CASTLE,12211977,0,3,68,,33055,3505 KATHRYN  ST,293,
Leah,CORDOVA,06171957,0,1,76,181,30992,4008 EVANS  STREET,325,
Lance,BRANNON,01151979,0,1,63,134,27030,1406 VILLAGE  STREET,168,
Donovan,RICKER,10091959,0,2,,116,21479,4926 COMMERCE  ST,290,
Andy,STEVENSON,06281951,0,4,70,156,22411,1061 HANCOCK  STREET,302,
Sierra,CLARK,11201951,0,4,57,109,22848,8681 DEARBORN  STREET,215,
Brandon,LOUIS,03311966,0,2,,163,23678,500 LEYDEN  STREET,456,
Hazel,CARNEY,12221947,0,,71,,27629,9704 GRIFFIN  ST,419,
Rocco,HARTMAN,07031973,0,1,66,,29727,178 RUPERT  ST,336,
Andrea,AQUINO,12311953,0,2,66,143,22271,7517 GRAYSON  STREET,485,
Logan,LAND,01011952,0,1,59,112,37801,3279 LANDOVER  STREET,222,
Penelope,MAYO,06241964,0,2,55,,20588,4484 RIDLEY  ST,124,
Daniela,GIVENS,11151972,0,4,72,193,30927,4455 SYCAMORE  ST,406,
Cristian,MEYER,12261944,0,2,58,,36210,9012 HEATON PARK  STREET,245,
Adeline,BOLIN,05061969,0,3,55,97,31206,8137 ERIE  STREET,261,
Nickolas,BARKSDALE,08251940,0,4,,142,29747,6242 UNDERWOOD  ST,121,
Jack,PUCKETT,05231950,0,1,69,164,24502,2161 FREEMAN  ST,488,
Derrick,ABRAMS,11091950,0,2,,161,34763,6705 DRIFTWOOD  ST,440,
Helen,NEWBERRY,01301977,0,3,,137,24580,1276 REGENCY PATH  STREET,221,
Genesis,MCLEOD,10181964,0,3,62,153,35102,2769 CRAIGIE  STREET,372,
Donovan,BOLES,11201963,0,4,74,120,35785,1244 OAK  ST,382,
Keegan,MCCARTHY,09261955,0,2,70,139,38326,1773 HEATHERDOWN  ST,411,
Quincy,MULLER,03241947,0,2,55,130,30203,1686 BRUTON  STREET,212,
Perla,MULLER,05041962,0,1,59,,30663,2299 3RD  STREET,219,
Paris,CROSBY,01231975,0,1,55,107,25830,2922 DAVIS  STREET,246,
Dayanara,HUNTLEY,04201941,0,3,64,115,38862,6593 HEATON PARK  ST,499,
Cassandra,PUTNAM,08181972,0,4,56,85,27254,4180 BROWER  STREET,410,
Trent,GALLOWAY,08251951,0,3,77,,32440,6937 2ND  ST,478,
Logan,ADAMS,12221972,0,2,76,185,26866,4840 WOODFERN  ST,344,
Daisy,CULLEN,08271940,0,2,60,135,31830,5479 CARTER  STREET,298,
Helen,SPENCE,05191943,0,4,,111,26004,5190 LEYDEN  STREET,224,
Ian,MYLES,10301955,0,1,64,107,31435,6772 ATLANTA  STREET,441,
Carlos,BEAULIEU,07081968,0,2,62,138,31000,738 CHELSEA  ST,174,
Dayanara,LYLE,02271940,0,4,75,151,21610,3047 PARK  ST,101,
Kyla,WHITTAKER,10211943,0,3,,122,22143,3472 ARBOR WAY  STREET,337,
Hailey,BRAND,03151979,0,1,69,186,35676,5751 VICKERS  ST,468,
Jamari,AYRES,08311952,0,1,75,172,29808,3526 CALLAWAY  ST,417,
Amaya,REGAN,09021949,0,4,75,,31295,7147 JEFFERSON  ST,176,
Trey,FAUST,10011982,0,1,,112,32606,9533 FELD  ST,158,
Kailyn,WYLIE,11141975,0,3,64,145,28167,7868 JACKSON  ST,161,
Melanie,WALLIS,02151984,0,3,,130,38559,6980 OAKVIEW  STREET,343,
Iris,KENDRICK,03161962,0,4,71,,30862,3125 CHARLESGATE  STREET,446,
Osvaldo,RATLIFF,08131976,0,1,,151,31054,3592 5TH  ST,213,
Kaden,JACOB,02261943,0,1,64,131,22853,4901 MONTICELLO  ST,358,
Mckenna,BALL,11131958,0,1,,153,23287,4615 ROCKLAND  STREET,469,
Kobe,MUNOZ,01111954,0,1,67,113,25488,4229 TALLEY  STREET,255,
Aaron,CLOUD,10141948,0,3,69,150,34599,4244 LANDOVER  STREET,337,
Katelynn,SCOTT,08021945,0,3,78,161,32256,8954 VIVIAN  ST,152,
Bryson,EMERSON,01261956,0,2,59,115,34713,7388 FELD  ST,336,
Sofia,LOMBARDI,01071941,0,1,77,151,26834,3411 GLENLAKE COMMONS  ST,302,
Colby,HIGGINS,04081980,0,1,75,156,31260,2732 CHIEF MATTHEWS  STREET,329,
Emerson,DRAPER,01251967,0,1,,159,35574,9069 FRANKLIN  ST,409,
Charlie,SOSA,07191977,0,3,79,,20098,2971 CAMBRIDGE  ST,328,
Maxwell,LANCASTER,07161966,0,4,,,23842,2724 FOWLER  ST,287,
Kaydence,LOWERY,05031956,0,4,56,120,24057,8586 5TH  ST,174,
Alyssa,DILLON,08201940,0,4,56,,20244,8741 DALEROSE  STREET,134,
Dulce,BYRNE,03161945,0,4,,123,24138,8044 LEYDEN  ST,305,
Jose,ISBELL,05231973,,1,73,152,34688,7860 WILLIAMS  ST,412,
Breanna,WELLER,11251945,0,4,,126,21646,9784 TALLEY  STREET,382,
Douglas,URBAN,08051979,0,1,68,97,25567,8556 ATLANTA  ST,273,
Mckenna,HAMMONS,09121946,0,2,71,145,28454,9644 POPE  STREET,300,
Emilia,KERNS,09071978,0,3,79,164,30905,7359 PONCE DE LEON  ST,228,
Kailey,DUPRE,10041958,0,1,,147,35477,1239 OLE ANSLEY  STREET,163,
Damon,PATTEN,04021963,0,3,,,26981,5369 POPE  STREET,240,
Eli,CRUZ,01251955,0,1,57,109,28074,6528 SYCAMORE RIDGE  STREET,212,
Alexander,TAPIA,08151959,0,4,75,170,23078,5861 WOODLAWN  STREET,424,
